60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	1	45
80	15	1.292	1	65
70	10	1.523	1	60
50	5	1.523	1	45
60	10	1.292	1	50
80	15	1.073	1	65
70	15	0.767	1	55
50	10	1.073	1	40
60	5	1.292	1	55
80	0	1.523	1	80
70	0	1.292	1	70
50	5	1.073	1	45
60	10	0.767	1	50
80	5	0.767	1	75
70	0	1.073	1	70
50	0	0.767	1	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
60	10	0.767	0	50
80	5	0.767	0	75
70	0	1.073	0	70
50	0	0.767	0	50
60	15	1.523	0	45
80	15	1.292	0	65
70	10	1.523	0	60
50	5	1.523	0	45
60	10	1.292	0	50
80	15	1.073	0	65
70	15	0.767	0	55
50	10	1.073	0	40
60	5	1.292	0	55
80	0	1.523	0	80
70	0	1.292	0	70
50	5	1.073	0	45
